	Startdatum	Startort	Strasse	Zielort	Strasse	Startkilometer	Endkilometer	Strecke	Priv/Business	Person/Firma	Zweck	Ankunftsdatum			
3	22.06.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	99100	99124	24	Rückfahrt	Rückfahrt	Rückfahrt	22.06.2011	3		
5	24.06.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	99124	99148	24	Business	ECSM Kunde	Deutsche Bank Projekt	24.06.2011	5		
5	24.06.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	99148	99172	24	Rückfahrt	Rückfahrt	Rückfahrt	24.06.2011	5		
7	26.06.2011	Oberursel	Tannenweg	Oberursel	Tannenweg	99172	99283	111	Privat			26.06.2011	7		
1	27.06.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	99283	99307	24	Business	ECSM Kunde	Deutsche Bank Projekt	27.06.2011	1		
1	27.06.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	99307	99331	24	Rückfahrt	Rückfahrt	Rückfahrt	27.06.2011	1		
2	28.06.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	99331	99355	24	Business	ECSM Kunde	Deutsche Bank Projekt	28.06.2011	2		
2	28.06.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	99355	99379	24	Rückfahrt	Rückfahrt	Rückfahrt	28.06.2011	2		
3	29.06.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	99379	99403	24	Business	ECSM Kunde	Deutsche Bank Projekt	29.06.2011	3		
3	29.06.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	99403	99427	24	Rückfahrt	Rückfahrt	Rückfahrt	29.06.2011	3		
4	30.06.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	99427	99451	24	Business	ECSM Kunde	Deutsche Bank Projekt	30.06.2011	4		
4	30.06.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	99451	99475	24	Rückfahrt	Rückfahrt	Rückfahrt	30.06.2011	4		
5	01.07.2011	Oberursel	Tannenweg	Frankfurt	Parkhaus Goetheplatz	99475	99499	24	Business	ECSM Kunde	Deutsche Bank Projekt	01.07.2011	5		
5	01.07.2011	Frankfurt	Parkhaus Goetheplatz	Oberursel	Tannenweg	99499	99523	24	Rückfahrt	Rückfahrt	Rückfahrt	01.07.2011	5		
6	02.07.2011	Oberursel	Tannenweg	Oberursel	Tannenweg	99523	99542	19	Privat			02.07.2011	6		
1	04.07.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	99542	99566	24	Business	ECSM Kunde	Deutsche Bank Projekt	04.07.2011	1		
1	04.07.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	99566	99589	23	Rückfahrt	Rückfahrt	Rückfahrt	04.07.2011	1		
2	05.07.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	99589	99613	24	Business	ECSM Kunde	Deutsche Bank Projekt	05.07.2011	2		
2	05.07.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	99613	99637	24	Rückfahrt	Rückfahrt	Rückfahrt	05.07.2011	2		
3	06.07.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	99637	99661	24	Business	ECSM Kunde	Deutsche Bank Projekt	06.07.2011	3		
3	06.07.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	99661	99686	25	Rückfahrt	Rückfahrt	Rückfahrt	06.07.2011	3		
4	07.07.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	99686	99710	24	Business	ECSM Kunde	Deutsche Bank Projekt	07.07.2011	4		
4	07.07.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	99710	99734	24	Rückfahrt	Rückfahrt	Rückfahrt	07.07.2011	4		
5	08.07.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	99734	99759	25	Business	ECSM Kunde	Deutsche Bank Projekt	08.07.2011	5		
5	08.07.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	99759	99783	24	Rückfahrt	Rückfahrt	Rückfahrt	08.07.2011	5		
6	09.07.2011	Oberursel	Tannenweg	Oberursel	Tannenweg	99783	99794	11	Privat			09.07.2011	6		
1	11.07.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	99794	99819	25	Business	ECSM Kunde	Deutsche Bank Projekt	11.07.2011	1		
1	11.07.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	99819	99843	24	Rückfahrt	Rückfahrt	Rückfahrt	11.07.2011	1		
2	12.07.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	99843	99868	25	Business	ECSM Kunde	Deutsche Bank Projekt	12.07.2011	2		
2	12.07.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	99868	99892	24	Rückfahrt	Rückfahrt	Rückfahrt	12.07.2011	2		
3	13.07.2011	Oberursel	Tannenweg	Frankfurt	Parkhaus Goetheplatz	99892	99916	24	Business	ECSM Kunde	Deutsche Bank Projekt	13.07.2011	3		
3	13.07.2011	Frankfurt	Parkhaus Goetheplatz	Oberursel	Tannenweg	99916	99940	24	Rückfahrt	Rückfahrt	Rückfahrt	13.07.2011	3		
4	14.07.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	99940	99965	25	Business	ECSM Kunde	Deutsche Bank Projekt	14.07.2011	4		
4	14.07.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	99965	99989	24	Rückfahrt	Rückfahrt	Rückfahrt	14.07.2011	4		
5	15.07.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	99989	100014	25	Business	ECSM Kunde	Deutsche Bank Projekt	15.07.2011	5		
5	15.07.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	100014	100038	24	Rückfahrt	Rückfahrt	Rückfahrt	15.07.2011	5		
1	18.07.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	100038	100063	25	Business	ECSM Kunde	Deutsche Bank Projekt	18.07.2011	1		
1	18.07.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	100063	100087	24	Rückfahrt	Rückfahrt	Rückfahrt	18.07.2011	1		
2	19.07.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	100087	100112	25	Business	ECSM Kunde	Deutsche Bank Projekt	19.07.2011	2		
2	19.07.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	100112	100136	24	Rückfahrt	Rückfahrt	Rückfahrt	19.07.2011	2		
3	20.07.2011	Oberursel	Tannenweg	Frankfurt	Parkhaus Goetheplatz	100136	100160	24	Business	ECSM Kunde	Deutsche Bank Projekt	20.07.2011	3		
3	20.07.2011	Frankfurt	Parkhaus Goetheplatz	Oberursel	Tannenweg	100160	100184	24	Rückfahrt	Rückfahrt	Rückfahrt	20.07.2011	3		
4	21.07.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	100184	100209	25	Business	ECSM Kunde	Deutsche Bank Projekt	21.07.2011	4		
4	21.07.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	100209	100233	24	Rückfahrt	Rückfahrt	Rückfahrt	21.07.2011	4		
5	22.07.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	100233	100258	25	Business	ECSM Kunde	Deutsche Bank Projekt	22.07.2011	5		
5	22.07.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	100258	100282	24	Rückfahrt	Rückfahrt	Rückfahrt	22.07.2011	5		
6	23.07.2011	Oberursel	Tannenweg	Oberursel	Tannenweg	100282	100288	6	Privat			23.07.2011	6		
1	25.07.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	100288	100313	25	Business	ECSM Kunde	Deutsche Bank Projekt	25.07.2011	1		
1	25.07.2011	Frankfurt	Kirchnerstrasse	Hahn	Flughafen	100313	100438	125	Business	ECSM Kunde	Kunde Abholen	25.07.2011	1		
1	25.07.2011	Hahn	Flughafen	Oberursel	Tannenweg	100438	100577	139	Rückfahrt	Rückfahrt	Rückfahrt	25.07.2011	1		
2	26.07.2011	Oberursel	Tannenweg	Frankfurt	Parkhaus Goetheplatz	100577	100601	24	Business	ECSM Kunde	Deutsche Bank Projekt	26.07.2011	2		
2	26.07.2011	Frankfurt	Parkhaus Goetheplatz	Oberursel	Tannenweg	100601	100625	24	Rückfahrt	Rückfahrt	Rückfahrt	26.07.2011	2		
3	27.07.2011	Oberursel	Tannenweg	Frankfurt	Parkhaus Goetheplatz	100625	100649	24	Business	ECSM Kunde	Deutsche Bank Projekt	27.07.2011	3		
3	27.07.2011	Frankfurt	Parkhaus Goetheplatz	Oberursel	Tannenweg	100649	100673	24	Rückfahrt	Rückfahrt	Rückfahrt	27.07.2011	3		
4	28.07.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	100673	100698	25	Business	ECSM Kunde	Deutsche Bank Projekt	28.07.2011	4		
4	28.07.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	100698	100722	24	Rückfahrt	Rückfahrt	Rückfahrt	28.07.2011	4		
5	29.07.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	100722	100747	25	Business	ECSM Kunde	Deutsche Bank Projekt	29.07.2011	5		
5	29.07.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	100747	100771	24	Rückfahrt	Rückfahrt	Rückfahrt	29.07.2011	5		
6	30.07.2011	Oberursel	Tannenweg	Oberursel	Tannenweg	100771	100793	22	Privat			30.07.2011	6		
1	01.08.2011	Oberursel	Tannenweg	Frankfurt	Parkhaus Goetheplatz	100793	100817	24	Business	ECSM Kunde	Deutsche Bank Projekt	01.08.2011	1		
1	01.08.2011	Frankfurt	Parkhaus Goetheplatz	Oberursel	Tannenweg	100817	100841	24	Rückfahrt	Rückfahrt	Rückfahrt	01.08.2011	1		
2	02.08.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	100841	100866	25	Business	ECSM Kunde	Deutsche Bank Projekt	02.08.2011	2		
2	02.08.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	100866	100890	24	Rückfahrt	Rückfahrt	Rückfahrt	02.08.2011	2		
3	03.08.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	100890	100915	25	Business	ECSM Kunde	Deutsche Bank Projekt	03.08.2011	3		
3	03.08.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	100915	100939	24	Rückfahrt	Rückfahrt	Rückfahrt	03.08.2011	3		
4	04.08.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	100939	100964	25	Business	ECSM Kunde	Deutsche Bank Projekt	04.08.2011	4		
4	04.08.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	100964	100988	24	Rückfahrt	Rückfahrt	Rückfahrt	04.08.2011	4		
5	05.08.2011	Oberursel	Tannenweg	Frankfurt	Parkhaus Goetheplatz	100988	101012	24	Business	ECSM Kunde	Deutsche Bank Projekt	05.08.2011	5		
5	05.08.2011	Frankfurt	Parkhaus Goetheplatz	Oberursel	Tannenweg	101012	101036	24	Rückfahrt	Rückfahrt	Rückfahrt	05.08.2011	5		
5	05.08.2011	Oberursel	Tannenweg	Prag	Innenstadt	101036	101595	559	Business	ECSM	Übernachtung unterwegs	05.08.2011	5		
6	06.08.2011	Prag	Innenstadt	Dlha nad Vahom	Dlha nad Vahom	101595	102040	445	Business	ECSM	ECSM Offsite	06.08.2011	6		
6	06.08.2011	Dlha nad Vahom	Dlha nad Vahom	Bratislava	Innenstadt	102040	102111	71	Business	ECSM	ECSM Offsite	06.08.2011	6		
7	07.08.2011	Bratislava	Innenstadt	Dlha nad Vahom	Dlha nad Vahom	102111	102184	73	Business	ECSM	ECSM Offsite	07.08.2011	7		
7	07.08.2011	Dlha nad Vahom	Dlha nad Vahom	Dlha nad Vahom	Dlha nad Vahom	102184	102216	32	Private			07.08.2011	7		
1	08.08.2011	Dlha nad Vahom	Dlha nad Vahom	Oberursel	Tannenweg	102216	103188	972	Rückfahrt	Rückfahrt	Rückfahrt	08.08.2011	1		
2	09.08.2011	Oberursel	Tannenweg	Oberursel	Autowerkstatt Oberursel	103188	103220	32	Business	Werkstatt	Reparatur + Probefahrt	09.08.2011	2	0	103220
2	09.08.2011	Oberursel	Autowerkstatt Oberursel	Oberursel	Tannenweg	103220	103229	9				09.08.2011	2		
3	10.08.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	103229	103254	25	Business	ECSM Kunde	Deutsche Bank Projekt	10.08.2011	3		
3	10.08.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	103254	103278	24	Rückfahrt	Rückfahrt	Rückfahrt	10.08.2011	3		
4	11.08.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	103278	103303	25	Business	ECSM Kunde	Deutsche Bank Projekt	11.08.2011	4		
4	11.08.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	103303	103327	24	Rückfahrt	Rückfahrt	Rückfahrt	11.08.2011	4		
5	12.08.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	103327	103352	25	Business	ECSM Kunde	Deutsche Bank Projekt	12.08.2011	5		
5	12.08.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	103352	103376	24	Rückfahrt	Rückfahrt	Rückfahrt	12.08.2011	5		
1	15.08.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	103376	103401	25	Business	ECSM Kunde	Deutsche Bank Projekt	15.08.2011	1		
1	15.08.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	103401	103425	24	Rückfahrt	Rückfahrt	Rückfahrt	15.08.2011	1		
2	16.08.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	103425	103450	25	Business	ECSM Kunde	Deutsche Bank Projekt	16.08.2011	2		
2	16.08.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	103450	103474	24	Rückfahrt	Rückfahrt	Rückfahrt	16.08.2011	2		
3	17.08.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	103474	103499	25	Business	ECSM Kunde	Deutsche Bank Projekt	17.08.2011	3		
3	17.08.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	103499	103523	24	Rückfahrt	Rückfahrt	Rückfahrt	17.08.2011	3		
4	18.08.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	103523	103548	25	Business	ECSM Kunde	Deutsche Bank Projekt	18.08.2011	4		
4	18.08.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	103548	103572	24	Rückfahrt	Rückfahrt	Rückfahrt	18.08.2011	4		
5	19.08.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	103572	103597	25	Business	ECSM Kunde	Deutsche Bank Projekt	19.08.2011	5		
5	19.08.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	103597	103621	24	Rückfahrt	Rückfahrt	Rückfahrt	19.08.2011	5		
1	22.08.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	103621	103646	25	Business	ECSM Kunde	Deutsche Bank Projekt	22.08.2011	1		
1	22.08.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	103646	103670	24	Rückfahrt	Rückfahrt	Rückfahrt	22.08.2011	1		
2	23.08.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	103670	103695	25	Business	ECSM Kunde	Deutsche Bank Projekt	23.08.2011	2		
2	23.08.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	103695	103719	24	Rückfahrt	Rückfahrt	Rückfahrt	23.08.2011	2		
3	24.08.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	103719	103744	25	Business	ECSM Kunde	Deutsche Bank Projekt	24.08.2011	3		
3	24.08.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	103744	103768	24	Rückfahrt	Rückfahrt	Rückfahrt	24.08.2011	3		
4	25.08.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	103768	103793	25	Business	ECSM Kunde	Deutsche Bank Projekt	25.08.2011	4		
4	25.08.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	103793	103817	24	Rückfahrt	Rückfahrt	Rückfahrt	25.08.2011	4		
5	26.08.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	103817	103842	25	Business	ECSM Kunde	Deutsche Bank Projekt	26.08.2011	5		
5	26.08.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	103842	103866	24	Rückfahrt	Rückfahrt	Rückfahrt	26.08.2011	5		
2	30.08.2011	Oberursel	Tannenweg	Frankfurt	Karl von Dreis strasse	103866	103910	44	Business	BMW	Reparatur + Probefahrt	30.08.2011	2	0	103910
2	30.08.2011	Frankfurt	Karl von Dreis strasse	Oberursel	Tannenweg	103910	103926	16	Rückfahrt	Rückfahrt	Rückfahrt	30.08.2011	2		
4	01.09.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	103926	103951	25	Business	ECSM Kunde	Deutsche Bank Projekt	01.09.2011	4		
4	01.09.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	103951	103975	24	Rückfahrt	Rückfahrt	Rückfahrt	01.09.2011	4		
5	02.09.2011	Oberursel	Tannenweg	Frankfurt	Karl von Dreis strasse	103975	104003	28	Business	BMW	Reparatur + Probefahrt	02.09.2011	5	0	104003
5	02.09.2011	Frankfurt	Karl von Dreis strasse	Oberursel	Tannenweg	104003	104019	16	Rückfahrt	Rückfahrt	Rückfahrt	02.09.2011	5		
1	19.09.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	104019	104044	25	Business	ECSM Kunde	Deutsche Bank Projekt	19.09.2011	1	Szabi	
1	19.09.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	104044	104068	24	Rückfahrt	Rückfahrt	Rückfahrt	19.09.2011	1		
2	20.09.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	104068	104093	25	Business	ECSM Kunde	Deutsche Bank Projekt	20.09.2011	2		
2	20.09.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	104093	104117	24	Rückfahrt	Rückfahrt	Rückfahrt	20.09.2011	2		
3	21.09.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	104117	104142	25	Business	ECSM Kunde	Deutsche Bank Projekt	21.09.2011	3		
3	21.09.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	104142	104166	24	Rückfahrt	Rückfahrt	Rückfahrt	21.09.2011	3		
4	22.09.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	104166	104191	25	Business	ECSM Kunde	Deutsche Bank Projekt	22.09.2011	4		
4	22.09.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	104191	104215	24	Rückfahrt	Rückfahrt	Rückfahrt	22.09.2011	4		
5	23.09.2011	Oberursel	Tannenweg	Frankfurt	Parkhaus Goetheplatz	104215	104239	24	Business	ECSM Kunde	Deutsche Bank Projekt	23.09.2011	5		
5	23.09.2011	Frankfurt	Parkhaus Goetheplatz	Oberursel	Tannenweg	104239	104263	24	Rückfahrt	Rückfahrt	Rückfahrt	23.09.2011	5		
6	24.09.2011	Oberursel	Tannenweg	Oberursel	Tannenweg	104263	104320	57	Privat			24.09.2011	6		
1	26.09.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	104320	104345	25	Business	ECSM Kunde	Deutsche Bank Projekt	26.09.2011	1		
1	26.09.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	104345	104369	24	Rückfahrt	Rückfahrt	Rückfahrt	26.09.2011	1		
2	27.09.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	104369	104394	25	Business	ECSM Kunde	Deutsche Bank Projekt	27.09.2011	2		
2	27.09.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	104394	104418	24	Rückfahrt	Rückfahrt	Rückfahrt	27.09.2011	2		
3	28.09.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	104418	104443	25	Business	ECSM Kunde	Deutsche Bank Projekt	28.09.2011	3		
3	28.09.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	104443	104467	24	Rückfahrt	Rückfahrt	Rückfahrt	28.09.2011	3		
4	29.09.2011	Oberursel	Tannenweg	Frankfurt	Parkhaus Goetheplatz	104467	104490	23	Business	ECSM Kunde	Deutsche Bank Projekt	29.09.2011	4		
4	29.09.2011	Frankfurt	Parkhaus Goetheplatz	Oberursel	Tannenweg	104490	104514	24	Rückfahrt	Rückfahrt	Rückfahrt	29.09.2011	4		
5	30.09.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	104514	104539	25	Business	ECSM Kunde	Deutsche Bank Projekt	30.09.2011	5		
5	30.09.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	104539	104563	24	Rückfahrt	Rückfahrt	Rückfahrt	30.09.2011	5		
2	04.10.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	104563	104588	25	Business	ECSM Kunde	Deutsche Bank Projekt	04.10.2011	2		
2	04.10.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	104588	104612	24	Rückfahrt	Rückfahrt	Rückfahrt	04.10.2011	2		
3	05.10.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	104612	104636	24	Business	ECSM Kunde	Deutsche Bank Projekt	05.10.2011	3		
3	05.10.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	104636	104660	24	Rückfahrt	Rückfahrt	Rückfahrt	05.10.2011	3		
4	06.10.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	104660	104685	25	Business	ECSM Kunde	Deutsche Bank Projekt	06.10.2011	4		
4	06.10.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	104685	104709	24	Rückfahrt	Rückfahrt	Rückfahrt	06.10.2011	4		
5	07.10.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	104709	104734	25	Business	ECSM Kunde	Deutsche Bank Projekt	07.10.2011	5		
5	07.10.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	104734	104758	24	Rückfahrt	Rückfahrt	Rückfahrt	07.10.2011	5		
6	08.10.2011	Oberursel	Tannenweg	Oberursel	Tannenweg	104758	105029	271	Privat			08.10.2011	6		
1	10.10.2011	Oberursel	Tannenweg	Frankfurt	Parkhaus Goetheplatz	105029	105053	24	Business	ECSM Kunde	Deutsche Bank Projekt	10.10.2011	1		
1	10.10.2011	Frankfurt	Parkhaus Goetheplatz	Oberursel	Tannenweg	105053	105077	24	Rückfahrt	Rückfahrt	Rückfahrt	10.10.2011	1		
2	11.10.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	105077	105102	25	Business	ECSM Kunde	Deutsche Bank Projekt	11.10.2011	2		
2	11.10.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	105102	105126	24	Rückfahrt	Rückfahrt	Rückfahrt	11.10.2011	2		
3	12.10.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	105126	105151	25	Business	ECSM Kunde	Deutsche Bank Projekt	12.10.2011	3		
3	12.10.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	105151	105175	24	Rückfahrt	Rückfahrt	Rückfahrt	12.10.2011	3		
4	13.10.2011	Oberursel	Tannenweg	Frankfurt	Parkhaus FFT	105175	105198	23	Business	ECSM Kunde	Deutsche Bank Projekt	13.10.2011	4		
4	13.10.2011	Frankfurt	Parkhaus FFT	Oberursel	Tannenweg	105198	105222	24	Rückfahrt	Rückfahrt	Rückfahrt	13.10.2011	4		
5	14.10.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	105222	105247	25	Business	ECSM Kunde	Deutsche Bank Projekt	14.10.2011	5		
5	14.10.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	105247	105271	24	Rückfahrt	Rückfahrt	Rückfahrt	14.10.2011	5		
6	15.10.2011	Oberursel	Tannenweg	Oberursel	Tannenweg	105271	105309	38	Privat			15.10.2011	6		
1	17.10.2011	Oberursel	Tannenweg	Frankfurt	Parkhaus Goetheplatz	105309	105333	24	Business	ECSM Kunde	Deutsche Bank Projekt	17.10.2011	1		
1	17.10.2011	Frankfurt	Parkhaus Goetheplatz	Oberursel	Tannenweg	105333	105357	24	Rückfahrt	Rückfahrt	Rückfahrt	17.10.2011	1		
2	18.10.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	105357	105382	25	Business	ECSM Kunde	Deutsche Bank Projekt	18.10.2011	2		
2	18.10.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	105382	105406	24	Rückfahrt	Rückfahrt	Rückfahrt	18.10.2011	2		
3	19.10.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	105406	105431	25	Business	ECSM Kunde	Deutsche Bank Projekt	19.10.2011	3		
3	19.10.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	105431	105455	24	Rückfahrt	Rückfahrt	Rückfahrt	19.10.2011	3		
4	20.10.2011	Oberursel	Tannenweg	Frankfurt	Parkhaus Goetheplatz	105455	105479	24	Business	ECSM Kunde	Deutsche Bank Projekt	20.10.2011	4		
4	20.10.2011	Frankfurt	Parkhaus Goetheplatz	Oberursel	Tannenweg	105479	105503	24	Rückfahrt	Rückfahrt	Rückfahrt	20.10.2011	4		
5	21.10.2011	Oberursel	Tannenweg	Frankfurt	Parkhaus Goetheplatz	105503	105527	24	Business	ECSM Kunde	Deutsche Bank Projekt	21.10.2011	5		
5	21.10.2011	Frankfurt	Parkhaus Goetheplatz	Oberursel	Tannenweg	105527	105551	24	Rückfahrt	Rückfahrt	Rückfahrt	21.10.2011	5		
6	22.10.2011	Oberursel	Tannenweg	Oberursel	Tannenweg	105551	105589	38	Privat			22.10.2011	6		
1	24.10.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	105589	105614	25	Business	ECSM Kunde	Deutsche Bank Projekt	24.10.2011	1		
1	24.10.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	105614	105638	24	Rückfahrt	Rückfahrt	Rückfahrt	24.10.2011	1		
2	25.10.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	105638	105663	25	Business	ECSM Kunde	Deutsche Bank Projekt	25.10.2011	2		
2	25.10.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	105663	105687	24	Rückfahrt	Rückfahrt	Rückfahrt	25.10.2011	2		
3	26.10.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	105687	105712	25	Business	ECSM Kunde	Deutsche Bank Projekt	26.10.2011	3		
3	26.10.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	105712	105736	24	Rückfahrt	Rückfahrt	Rückfahrt	26.10.2011	3		
4	27.10.2011	Oberursel	Tannenweg	Frankfurt	Parken Poststrasse	105736	105759	23	Business	ECSM Kunde	Deutsche Bank Projekt	27.10.2011	4		
4	27.10.2011	Frankfurt	Parken Poststrasse	Oberursel	Tannenweg	105759	105782	23	Rückfahrt	Rückfahrt	Rückfahrt	27.10.2011	4		
5	28.10.2011	Oberursel	Tannenweg	Frankfurt	Kirchnerstrasse	105782	105807	25	Business	ECSM Kunde	Deutsche Bank Projekt	28.10.2011	5		
5	28.10.2011	Frankfurt	Kirchnerstrasse	Oberursel	Tannenweg	105807	105831	24	Rückfahrt	Rückfahrt	Rückfahrt	28.10.2011	5		
